,dishes_name
936,"香烤牛排
"
937,山药养生粥
938,百里香奶油烤紅酒牛肉
939,香辣腐乳炒虾
940,牛尾汤
941,葱姜炒蟹
942,"番茄炖牛腩
"
943,芝士烩波士顿龙虾
944,芝麻烤紫菜
945,白饭/大碗
946,油焖麻辣虾
947,香菇鹌鹑蛋
948,番茄炖秋葵
949,辣炒花蛤
950,五色糯米饭(七色)
951,桂圆肉红豆八宝饭
952,五彩藕苗
953,酸辣藕丁
954,"照烧鸡腿
"
955,豌豆薯仔猪骨汤
956,大蒜苋菜
957,豌豆薯仔猪骨汤
958,焖猪手
959,重庆特色油烧兔
960,啤酒鸭
961,白斩鸡
962,青炒扁豆
963,爆炒猪肝
964,凉拌萝卜丝
965,辣炒鱿鱼
966,52度泸州老窖 
967,香辣腐乳炒虾
968,蛋挞
969,"番茄炖牛腩
"
970,小米南瓜粥
971,香菇鹌鹑蛋
972,酸辣藕丁
973,38度剑南春 
974,爆炒鸡翅
975,南瓜枸杞小饼干
976,白饭/大碗
977,啤酒鸭
978,凉拌蒜蓉西兰花
979,白饭/小碗
980,酸辣藕丁
981,香菇鹌鹑蛋
982,桂圆肉红豆八宝饭
983,山药养生粥
984,凉拌菠菜
985,白饭/小碗
986,水煮鱼
987,黄花菜炒木耳
988,葡萄奶酥(超酥香的饼干)
989,白饭/小碗
990,辣炒鱿鱼
991,麻辣小龙虾
992,凉拌菠菜
993,水煮鱼
994,"蒙古烤羊腿


"
995,豌豆薯仔猪骨汤
996,白饭/小碗
997,焖猪手
998,麻辣小龙虾
999,自制猪肉脯
1000,"蒙古烤羊腿


"
1001,农夫山泉NFC果汁100%橙汁
1002,清蒸蝶鱼
1003,皮蛋瘦肉粥
1004,白胡椒胡萝卜羊肉汤
1005,芹菜炒腰花
1006,水煮鱼
1007,"番茄炖牛腩


"
1008,鲜美鳝鱼
1009,白饭/小碗
1010,麻辣小龙虾
1011,"香辣爆羊肝


"
1012,姜葱炒花蟹
1013,凉拌菠菜
1014,一品香酥藕
1015,鱼香肉丝拌面
1016,"张裕葡萄酒张裕赤霞珠干红


"
1017,葱油凉拌藕片
1018,番茄炖秋葵
1019,辣炒海带丝
1020,番茄甘蓝
1021,五色糯米饭(七色)
1022,芹菜炒腰花
1023,蛋挞
1024,黄尾袋鼠西拉子红葡萄酒
1025,水煮鱼
1026,凉拌菠菜
1027,辣炒鱿鱼
1028,焖猪手
1029,"独家薄荷鲜虾牛肉卷


"
1030,"香烤牛排


"
1031,西瓜胡萝卜沙拉
1032,露露无糖杏仁露
1033,麻辣小龙虾
1034,不加一滴油的酸奶蛋糕
1035,葱姜炒蟹
1036,蛋挞
1037,爆炒鳝碌
1038,盘蟹蒸蛋
1039,"番茄炖牛腩


"
1040,白胡椒胡萝卜羊肉汤
1041,大蒜苋菜
1042,白饭/大碗
1043,谷稻小庄 
1044,焖猪手
1045,油焖麻辣虾
1046,芹菜炒腰花
1047,自制猪肉脯
1048,辣炒鱿鱼
1049,水煮鱼
1050,谷稻小庄 
1051,凉拌菠菜
1052,白胡椒胡萝卜羊肉汤
1053,"蒙古烤羊腿


"
1054,葱油凉拌藕片
1055,"张裕葡萄酒张裕赤霞珠干红


"
